2026-09-04 12:28:41.437 | INFO     | raven.core.gateway.channel_manager:register:20 - Registered channel: mock
2026-09-04 12:28:41.438 | INFO     | raven.core.gateway.gateway:handle_message:512 - [23622bfb] Incoming message from mock[user1]: hello events
2026-09-04 12:28:41.438 | DEBUG    | raven.core.security.context_filter:_try_init_presidio:356 - [context_filter] presidio_analyzer not available — using regex patterns only
2026-09-04 12:28:41.438 | INFO     | raven.core.gateway.gateway:_handle_message_inner:575 - [23622bfb] Processing message from mock[user1]
2026-09-04 12:28:41.441 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 1/10): sequence item 0: expected str instance, MagicMock found
2026-09-04 12:28:41.942 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 2/10): sequence item 0: expected str instance, MagicMock found
2026-09-04 12:28:42.943 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 3/10): sequence item 0: expected str instance, MagicMock found
2026-09-04 12:28:42.947 | INFO     | raven.core.gateway.gateway:stop:369 - Stopping gateway...
2026-09-04 12:28:42.947 | INFO     | raven.core.outbox:stop:89 - Outbox stopped
2026-09-04 12:28:42.947 | INFO     | raven.core.gateway.task_orchestrator:stop:88 - TaskOrchestrator stopped
2026-09-04 12:28:42.947 | INFO     | raven.core.gateway.channel_manager:stop_all:50 - Channel stopped: mock
2026-09-04 12:28:42.947 | DEBUG    | raven.core.store:close:54 - Connection closed for MonitorStore
2026-09-04 12:28:42.947 | DEBUG    | raven.core.store:close:54 - Connection closed for RoutineStore
